CITY_ID,CITY_NAME
1,2.76gaokakyo
2,Arashiyama
3,Arashiyama Torokko Station
4,Chayama
5,Chushojima
6,Demachiya2.76gi
7,Demachiyanagi
8,Emmachi
9,Fujinomori
10,Fukakusa
11,Fukuchiyama
12,Fushimi
13,Fushimi Momoyama
14,Gion Shijo
15,Gojo
16,Hanazono
17,Higashi Maizuru
18,Higashi Muko
19,Higashino
20,Higashiyama
21,Ichijoji
22,Imadegawa
23,Jingu Marutamachi
24,Jujo
25,Kameoka
26,Karasuma
27,Karasuma Oike
28,Katsura
29,Katsuragawa
30,Kawaramachi
31,Keihan Yamashi2.76
32,Keihan Yamashina
33,Kitano Hakubaicho
34,Kitaoji
35,Kitayama
36,Kiyomizu Gojo
37,Kokusaikaikan
38,Kujo
39,Kurama
40,Kuramaguchi
41,Kutsukawa
42,Kuzuha
43,Kyotanabe
44,Kyotango
45,Kyoto
46,Kyoto Shiyakusho Mae
47,Marutamachi
48,Matsugasaki
49,Matsuiyamate
50,Momoyamagoryomae
51,Mototanaka
52,Myoshinji
53,Nagaoka Tenjin
54,Nagaokakyo
55,Nagitsuji
56,Narayama
57,Nijo
58,Nijojo Mae
59,Nishi Maizuru
60,Nishikyogoku
61,Nishioji
62,Nishioji Oike
63,Nishioji Sanjo
64,Ogura
65,Okubo
66,Omiya
67,Rokujizo
68,Sai
69,Saiin
70,Sanjo
71,Sanjo Keihan
72,Shichijo
73,Shijo
74,Shijo Omiya
75,Shin Ta2.76be
76,Shugakuin
77,Takeda
78,Tambaguchi
79,Toji
80,Uji
81,Uzumasa Tenjingawa
82,Yamanouchi
83,Yawatashi